bioguide_id,politician,state,source_pdf,paragraph
L000565,Dave Loebsack,IA,Iowa_City_Press_Citizen_2006_11_02_Page_7.pdf,"Thursday, November 2, 2006 OPINION lowa City Press-Citizen 9A Readers endorse for Congress and secretary of agriculture U.S. Patton’s Pad INA AFTER MONTHS OF DEBATE, INFORMATION ANI EXAMINATION OF THE ISSUES AND CANDIDATES...AFTER ALL OF THE miei FORUMS, ARTICLES, LETTERS TO EDITORS, ADS AND SPEECHES to expect this will change if Ad he's reelected. ~ Ps ; j ra D perenne cis AT LAST, IT NOW ALL RESTS IN THE HANDS OF THE ONE HOPE THE uty letters critical of Re houht volnaacsaona ees A A p Ic Y Deena CONTINUATION OF REPRESENTATIVE DEMOCRACY DEPENDS ON ing to figure out how any minded or for those who could ac Lp one hadn't) researched the pemes tine OE al eople. and candidates. To avoid the UMA ""RE WE ais ntions aad votes guilt of straig-party voting VOTING ON A@AIN? * they selected Leach as thelr vernber of either party atid token Republican ‘becatise finitely reflect the values he's a mnadorute. They Yorgot gen at ma has no Or Ovettooked, however, that we university has 10 in voting for Le a Leach, He recently Republican control of the vived the US. Student fete sociation’s ""Friends of ~~ Dave Loebsack is a eudents Award,” for adv- — Comell College political si ting ede oriented ence profesor, a dynamic eiorities. in the federal and articulate speaker, and vudget, He has received has a longtime record of silat awarts for his SUp- support and participation in _—__ aft of the arts and public community scirsg rondenesting, Democrats should vote Dave Loebsack and set this job seriously while there is a American president of the =] When my wife immigrat- their convictions, not water COUnLYY on a better course. Republican president. 20th 110 the United Sates, ee, ognetions os wae ‘Aletia Morgan Loeback will help pro- my SECRETARY aach's office helped US and Independents, if dissat Towa City vide a check on the Bush — chief with this process and he has isfled with the courve our administration, But, tor every ny people nation has taken, sho Nathan Ross war, such as the short ~~ A cl ‘dame ‘ton tas ake should Vote Loebsack CeterEapiss Syeartnaian’ Wa OF AGRICULTURE Lar situations only with a change incon for the future there are the forgotten wars, we have become —trof of Congress the ""uchasthe warto put down polarized that, whether Dick Lamb _ Its time for a change. Loebsack has the Phillipines — a struggle tan fi weren’ hearing more we are on the right or left, Toa city Dave laxbsack will snd qualifications that claimed about 4000 | O’Brien is for cralepci, Sarg with Jowans wher American lives and many | fi OBrien can help begin to at makes us angry with a ters most: from th T could give you 55 thous of Piipinos An | LaMily farming sheggeh ohn Age shed vorideologue. But at this Give the House — vote. That's the w on why we should all unfortunate parallel in the | Denise OBrien under. Nila ett ur wondeetd ue jzation and stop the Bush agenda and or Dave Loebsack for traq war is the “Mission | stands that lowa must b ‘Sine invent ree Enodis iwi Of AC DEMOED Loca ere Onion we oe Amer oneedn [Saket eae ae Jucated Jobson County The editors of the Press It disappointed me that Representative forthe Jowa followed by brutal insurgent | economic development and yalthy diverse, nurtaring understood the lessons of Citizen have endorsed Rep. the Press-Citizen wrote that Second District, but I will war since. profitability in agxiculture place N once was. O'Brien nis election exactly wrong Jim Leach because we need Laebsack would be a good only mention two. Tgive grudging respect to with the need for responsi- will work for lowa's econ and punished the values we moderates in government. representative but then sup- First, Rep. Jim Leach has the antiwar rhetoric of | ble stewardship of cuir nat- ny snd health ty heloin weed in government the Yet, Dave Loebsack also isa ported Rep. Jim Leach. Yes, been in Congress for thelast Republican Rep. Jim Leach. | yral and human resources. jew farmers yer tueted ost: honesty integrity and rye moderate with the P-C we should be able toreward 30 years, While Leach seems Butthe key thingisthe team | Her sensible approach Ist strengthens mae ndependence itself noting that “Loebsack moderates willing to vote to be a kind andl intelligent he is on. An intellectual | grounded in her 30 years of Kets for ocally grown Jim Barker and Leach offer similar their conscience, and have mun, be has little to show us equal finally presents from | experience as a OnBinic food She will work to fur. Towa City opinions,” with the key dif- in past years when there for those years in Congress. the Democrats in Dave | farmerin westem lowaand ther develop lowa's huge ference that Loebsack sup- was a more balanced One would think he would Loebsack Both Loebsack | js supported by her record renewable energy poten Leach has failed Po""s?ecificproposalsthat Congress But not this year have reached some leader. and | have young family | of award-winning leader- tal She'll work to testore veach has would help average work- at the expense of control of ship positions and authored — members in this war. Their | ship on agricultural issues jowa's natural environ. to be assertive ers. Good goverment hap- Congress several important pieces of lives depen on Bush bein | and intemational represen- jnent to health, support. pens when all parties are The central question of legislation, but this is not the best president in history | tation of family farming ny’ ‘sound farming pear The last six years heard this campaign remains: Why — the case not the worst. That is tices such as crop diverst lemonstrate that as long as ‘The combination of a is a Republican-controlled —_—_Loebsack has the skills, why I am sending Loebsack With the growing mar ty, healthy soil and water the current Republicans Democratic executive and a House good for lowa? Ask background and intelli- to Congress, ket for organic and locally protection. h majority, moderate Republican Congress from Leach to explain why his re gence to better represent David Smithers | grown products, O'Brien is ehonane iblicans are window 1954 to 2000 produced wel election to help make a — the Second District of lowa. Wellman offers a win-win proposi lowa City dressne, Rep. im Leach fare reform, eating to, a Republican Howse dng He fs outspoken and not tion of expanding lowa's has had six years to demon- decrease in welfare rolls, last two years of the Bush afraid to take on tough agricultural diversity + arate whether he can inf and scl dscpine lading tminstration would be sues He has the leader We've supported prosabily wile O'Brien has the the current leaders of — to the only balanced bud s00d forthe country orlowa. ship skills we need in these. Leach ingthe environment makes pf i his party and provide the in decades. A vote for per ‘This campaign is about turbulent times, too long sense. She appeals to all of right experience checks and balances essen- would help the current the future of America Second, if you, like me, Why not vote for Rep. | us who are concemed for A vote for Denise tial to a viable democracy. immoderate Republican Jowans have the chance, are very very tired of the Jim Leach? It came to me | the health and wellbeing O'Brien for secretary of The answer is clearly no. leadership retain control of this year, to choose between way Congress and the Bush last night. It is because the | of our families and of agriculture is a vote for If he has failed to be all three elected branches of a candidate who just by his administration has managed = Republican-controlled | future generations. She has strengthening state's | assertive and successful goverment political party affiliation will our country, then it is time Congress has abysmally | convinced me that she will economy. Currently, Iowans | n the stakes are so high, If the Republicans main- help continue the failures of — for a change. failed its oversight role. | work hard to improve spend $6 billion annually on | why send him back fortwo tain control of both the — the Bush administration th Under Bush's tenure the Congress actually has | jowa's water quality, to food. Most af these dollars nore years and risk perpet- House and the Senate, they Republican majority of stature of the United States become part of the Bush | promote renewable energy donot stay in our state. | wating Republican contro!? will have no reason to Congress, or a cand in the world has plummet- administration. So, we must | ind to increase awareness Denise promotes. keeping { the Press change their policies and whobefore hisfirst vote will ed This has occurred under bid adieu to Leach if we are | of the social and economie more of these dollars in our ‘truly want an intelli will continue to ignore lead to new Democratic the watch of Leach and this serious about saving habeas | advantages of consuming state through the creation nl, assertive representa Leach’s handful of symbolic leadership and a new direc- Congress. If you have “had corpus (and the rest of our | healthy, locally grown and expansion of local food | ive of the people —some- and ineffective protest _ thon for our country. enough,” it 48 time to vote Constitution) food. systems to enable individ- | ane who will provide votes. Ifthe Democrats gain Judy Pfohl for Locsack forthe Second Dave Loebsaick will be a | ""Ty Jear more, visit her ual and business consumers control of the House, then Towa City District House seat very good altemative to | Web site at wwwdeniseo- to purchase locally grown the Republican leadership bape Fosisr sd “ h Ps dete | brien.com. Please join me food directly from the will have to bear to negoti- + juscatine Johnson County Democrats | in yoting O'Brien for lowa farmer. apie, tae 6 tok tat come Leach is keeping (abe P< sto board) pebes Bepeeti The ethanol and bio© endorse such a man, helped by — moderate have supported for so long | Katherine Gloer diesel industries present Lacs Democrats such a Dave pe company e Loebsack is more Hover Metz Towa City exciting opportune for | Gerene Denning Loebsack. The only truly ep. Jim Leach is indeed resentative jowa City Jowa’s farmers and rural Towa City. effective way to encounge & gentleman. However, he TePresent fret Yo moderaton im has hoje! pepetate the We expres cur sibs Teach shouldn't | O'Brien to grow e's greater economic "" ‘our government is to vote agenda of Republican Jead- astic support for Dave ‘opportunity when the manVoters need to be ir 22ccvon tuesday. es such as genile Vice Lotbeack for Congress be rewarded rural economy {frre Speratons of more assertive Philip Kaaret President Dick Cheney, com- Dave has run a positive, sub- lowa is a nat these products are locally Towa City passionate President Bush stantive campaign focused Time after time 1 hear | jeader in com. bas Should we vote for Rep and tender former House on issues that mater — bascally the same an | than pruction AS that vera integration of Jim Leach? Sure, because majority leader Tom DeLay, health care, social security, ment when it comes t0 the | Secreta : > peocection i ‘online to the Pres Set the country ae Retz imigatio, the warn ing; Second Dstt lecton oie ihe worth Citizen's : Towa City and a living wage. His post im Leach is an inde | mote dive ""4 still has the on a better course tions ate concrete, clearly pendent thinker who has | able enengy 36 aa yicl coms | was stunned to see that articulated and credible. In done a good job (for a | ts rereneal gansce anu! thinks we that of his former boss the PreseCitizen bas cho- Help hold Bush the debate in Cedar Rapids, Republican), #0 why should pe Lapiconcg en pf Donald Rumsfeld” (Oct.27). sen to favor legacy over he was, by comparison with we “punish” him by not | ited to a strong Towa ankle iat chi each copeliky srl comeienees accountable Rep. Jim Leach, forthright — reelecting him? cconony balanced with aways (0 increase economJoesn’ put much of sub- by endorsing incumbent To hold the Bush admin- and unequivocal The Prese-Citizen repeat |Sensible use of its te vitality in our rural stance into Rumsfeld ear Rep. Jim Leach. We have istration accountable we For too long this district ed that argument when it | fesources. She is commit. communities. She is will or that Rumafeld’s ears were been represented by Leach must elect Dave Loebsack has been represented in endorsed Leach on Friday. ted to protecting lowa's ing to. ko losed long ago. 1 do think, for 30 years But whatdowe as our representative in y whose W'S as if Leach’s incumben- | sou, air and water and will nowewt, that Rumsfeld is have to show for it? Congress. There are some e Republican cy, in and of itself, is a ea | Work to keep jobs in lowa rateful for Leach’ refisal Although personally he may who like Rep. Jim Le yy and its leadership, son to vote for him. On top Holly Hotchkiss ty; ims farmers can afford ‘cal for his resignation. hold views about foreign because he is moderate. when push comes to shove, of tha, he's reasonable Nowa City: to be Outiers. ancl GONE The PressCitizen thinks policy and US. aggression While Iam glad he can be —isnever in doubt. He may be ea break tors and not simply work Leach should be ma that are relatively independent, he too often on a long leash with respect cane of many re 2s iemieaioes assertive. If 30 years in e, remember that sides with Bush. If Leach is ertain issues where for Your vote makes ee he right congress is not a sufficient be is stil a Republican, and elected, his next crucial Republican mayonty vote is Lot choice for lowa's next sec sere avtnning pork wil conte tote tthe vote will be for Howe torn quetion, but when the DaahCheney energy por | ® Gifference retary of agriculture, She al te current House leadership. speaker Dennis Hastert to his vote is needed, they can icy. You know, the one that | This year's race for has the vision’ to. help Leach holds no key com- be speaker of the House ‘on itn and w helped to set environmental | jowa secretary of agricul. strengthen rural communt be assertive and mittee chairmanships, and President Bust has failed policy back 0 years an pro | pure is important. We have ties “through, expanding sebmac the only accomplishment he us in many ways including et's vided to incentives to devel- | Al heard about the ‘demise agricultural’ markets and Ed Flaherty can point to in the last weakening constitutional send him op alternative energy | ofthe family farm” We say increasing profitability for Towa City dozen years is an Internet rights, neglecting eset sources. You know, the one | what ashame itis that fame. lowa's farmers, Gambling bill? — While Orleansand an energy policy issues that matter to us. that resulted in record profits | jly' farmers can hardly Regenia D. Bailey : neva Conventions and that favors the cil ihustry ‘Ann and Shel for big oll companies Laach | jake a living any more. All lowa Clty Vote Loebsack to jatveas corpusare set aside? The war in Iraq hus killed Stromquist voted for that. Justone ofthe | Sf us know of emall, or While there is a steady thousands and is creating Towa City many occasions where | ibeant and thriving i ret change Congress (yrrse in porerty evels? more problems than ft Leach’s legendary “independ | that are now dye, We O'Brien has the Many Iowa City area While drug coverage for the solving I do not feel sfer ence” and “moderate per seed bud how sat Deamceas have consistent. elderly Is written by the The iiflerence and incom SENG Democrats — scve” were mising siabou'ow sal right experience to reelect insurance companies? petence is starring Te tg Congress Unlike Leach, Loebwack | th ieatedge _ 10m Wilting toikeport Republican Rep, Jim Leach — While oll companies make only thing they got is tax cuts will consistently support and | ¢hictive land in the world Denise O'Brien for secre «Congress. The primary record profits as they gouge for the rich and endless war = My ‘US. Army infantry fight for truly moderate post- | as wellas some ofthe most tary of ageeulture. 1 think reasons for this apparent citizens? Oh yes, and while Even if you think Leach son should be in Baghdad, thon that a majority of peo | potfuted and degraded she has the right expert contradiction are thousands of men and should be rewarded! forbeingg Iraq, this weekend. Amid ple in the Second District We rence shout) ence and tenceueent & ‘e lowa City area’ women are being killed ina moderate, there is one very the ethnic cleansing in the support: such as health care | eating the fish and swim lead lows. She's a support Democrat mista war we started and for important thing to consi: city's neighborhe 1 foreveryone andan increase | faing in the creek, and we er of family farms and hat because which we cannot even Representatives in Congress know he will face much — i the minimum wage wish that our bide could would help tncrease the ered consectt define “vietory” let alone have a responsibility to the danger Leach’s attempts coopt | do the same without risk availability of nutritic oo ae: sctueve Wr Come ch This ration asawhcle Ther con Ana liberal Democrat, Lortaack’s pasts andto | “rynean oe scoped the ln Jost does cu isuuoeh dy io prverd. hove never been afin of paiet Lockenck to tn |” tan ent contne coruneing ecooomte venefit his district. This sim We need someone who the president from abusing President Bush or of this extremist should not be | ing petroleum anguish, we — development iy hasn't happened. His notonlysaysnicethings we power It is clear that a war But I do recognize the rewarded hava hened shout Ulediooal Brett Cloyd ly leadership position isa need someone who can Republican-controlied echos of Woodrow Wilson Paul Waterman | and. wondered why we Towa City Uren suite ‘Congress will not take ard virtually every lowa City"
K000342,Stanley H. Kunz,IL,The_Akron_Beacon_Journal_1946_04_24_Page_20.pdf,"Deaths Elsewhere Stanley H, Kunz, 81, Democratic representative from the Eighth Illinois congressional district from 1820 to 1954 and for 26 vears a Chicago alderman, in Chicago."
L000355,Charles E. Littlefield,ME,Sidney_Daily_News_1915_05_03_1.pdf,"|. “Ex-Congreseman Littletield Dead. ,, | New York, May 3. — Former Cops gressman Caarles EK. . Littlefield died lat his home here.’ His death was due ito embolism, the formation of a blood i clot resulting from an operation which | | he underwent ten days ago. He was | sixty-four years old. Since his resisnation from congress in 1908 Mr, Littleficld had made New York. city his Home and had been practicing law nere."
W000487,Alpheus S. Williams,MI,The_Superior_Times_1879_01_04_2.pdf,"'spapers.com/image/466031554/ Obituary. General D. C. McCallum, formerly general superintendent of the Erie railroad, and subsequcutly at the head of the government railway service during the war of the rebellion, died at Brooklyn on the 27th ult. Rev. Leonard Woods, at one time presi dent of the Bowdoin co!lege, and author o many volumes, died at Boston, Mass., on the 26th inst. Adwiral Hoff died at Washington on the 25th, aged sixty-nine, Representative Alpheus S. Williams, of Michigan, died at Washington, D. C., on the 2lst inst. The remains were taken to Detroit for interment. Solomon Gardner, a well-known steamboat and vessel owner, died at Detroit on the 21st inst. Capt. Wm. Plocker, well known thrcughont Wisconsin as a member of the legistature in 1876, died at Boston, Mass., on the 2ist inst. The captain was about to start on an extended tour throughout Centra America and Mexico, Congressman Beverly B. Douglass, o Virginia, died at Washington on the 22¢ inst. of inflamma‘ion of the bowels, The remains were taken in charge by a congres sional committee and conveyed to Rich mond,"
T000149,John R. Thayer,MA,Fremont_Tribune_1916_12_19_1.pdf,"Worcester, Mass., Dec. 19.—Former Congressman John R. Thayer, one of the best known democrats of New Hngland, died today from a one years old and for fifty years had been prominent in Political life."
S001145,Jan Schakowsky,IL,Daily_Republican_Register_2009_08_13_15.pdf,"Congresswoman’s son-in-law dies while snorkeling CHICAGO (AP) — Congresswoman Jan Schakowsky’s son-in-law has died while snorkeling during a family outing in Mexico. The Illinois Democrat, husband Robert Creamer, their nine children and grandchildren were all in Mexico when Michael McLaughlin died. Schakowsky says McLaughlin’s death “leaves a big hole” in family members’ lives. Downloade"
O000082,Archibald E. Olpp,NJ,Evening_Courier_1949_07_27_1.pdf,"DR. OLPP’ DIES Hackensack, July 27 (INS) — Dr. are oa E. Olpp, former representative to Congress mes the 11th district of New J died last night at the age of Dr. O] p was a native of Bethlehem, Pa., and lived in Cliffside. He was a former head of North Hudson hospital in Union , He is survived by his wi a daughter and a son. ."
