2025-04-23 16:16:41.484 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for The_Pattonsburg_Call_1902_05_09_2.pdf
2025-04-23 16:16:52.059 | INFO     | __main__:download_current_page_pdf:279 - Downloaded The_Pattonsburg_Call_1902_05_09_2.pdf
2025-04-23 16:16:52.090 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/The_Pattonsburg_Call_1902_05_09_2.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:16:52.091 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for The_Pattonsburg_Call_1902_05_09_2.pdf
2025-04-23 16:17:02.743 | INFO     | __main__:download_current_page_pdf:279 - Downloaded The_Pattonsburg_Call_1902_05_09_2.pdf
2025-04-23 16:17:02.762 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/The_Pattonsburg_Call_1902_05_09_2.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:17:02.763 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for The_Pattonsburg_Call_1902_05_09_2.pdf
2025-04-23 16:17:13.569 | INFO     | __main__:download_current_page_pdf:279 - Downloaded The_Pattonsburg_Call_1902_05_09_2.pdf
2025-04-23 16:17:13.585 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/The_Pattonsburg_Call_1902_05_09_2.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:17:13.585 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for The_Pattonsburg_Call_1902_05_09_2.pdf
2025-04-23 16:17:21.182 | INFO     | __main__:download_current_page_pdf:222 - Downloaded The_Pattonsburg_Call_1902_05_09_2.pdf (sidebar flow)
2025-04-23 16:17:21.185 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/The_Pattonsburg_Call_1902_05_09_2.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:17:21.186 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for The_Pattonsburg_Call_1902_05_09_2.pdf
2025-04-23 16:17:26.293 | INFO     | __main__:download_current_page_pdf:222 - Downloaded The_Springfield_Daily_Republican_1925_09_12_3.pdf (sidebar flow)
2025-04-23 16:17:26.313 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/The_Springfield_Daily_Republican_1925_09_12_3.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:17:26.313 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for The_Springfield_Daily_Republican_1925_09_12_3.pdf
2025-04-23 16:17:30.963 | INFO     | __main__:download_current_page_pdf:222 - Downloaded The_Springfield_Daily_Republican_1925_09_12_3.pdf (sidebar flow)
2025-04-23 16:17:30.966 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/The_Springfield_Daily_Republican_1925_09_12_3.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:17:30.966 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for The_Springfield_Daily_Republican_1925_09_12_3.pdf
2025-04-23 16:17:37.719 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Springfield_Weekly_Republican_1925_09_17_12.pdf (sidebar flow)
2025-04-23 16:17:37.738 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Springfield_Weekly_Republican_1925_09_17_12.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:17:37.738 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Springfield_Weekly_Republican_1925_09_17_12.pdf
2025-04-23 16:17:46.605 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Springfield_Weekly_Republican_1925_09_17_12 (1).pdf (sidebar flow)
2025-04-23 16:17:46.608 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Springfield_Weekly_Republican_1925_09_17_12 (1).pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:17:46.609 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Springfield_Weekly_Republican_1925_09_17_12 (1).pdf
2025-04-23 16:17:54.035 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Springfield_Weekly_Republican_1925_09_17_12 (1).pdf (sidebar flow)
2025-04-23 16:17:54.053 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Springfield_Weekly_Republican_1925_09_17_12 (1).pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:17:54.053 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Springfield_Weekly_Republican_1925_09_17_12 (1).pdf
2025-04-23 16:17:58.718 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Chicago_Tribune_1956_09_13_Page_97.pdf (sidebar flow)
2025-04-23 16:17:58.721 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Chicago_Tribune_1956_09_13_Page_97.pdf: Unable to get page count. Is poppler installed and in PATH?
